Germany,Juventus FC,Moscow,1990,Ronald Wilson,56
Russia,FC Krasnodar,Tambov,2005,William Moore,44
Italy,Liverpool FC,Rome,2012,Adam Williams,11
France,Manchester City,Yekaterinburg,2012,Jeffrey Adams,20
England,FC Ufa,Paris,2016,Christopher Taylor,30
Germany,FC Orenburg,Reims,2008,Adam Williams,98
Germany,Athletic Bilbao,Metz,2002,Kevin Campbell,53
England,FC St. Petersburg,Freiburg,2011,Nicholas Moore,6
Russia,Stade Rennais,Reims,2019,Nicholas Moore,4
France,AS Roma,London,1998,Steven Taylor,68
Russia,FC Tambov,London,2010,Edward Phillips,51
Germany,FC Krasnodar,Rennes,2006,Richard Walker,73
Italy,RC Celta de Vigo,Leverkusen,2012,Kenneth Hall,19
France,Olympique Marseille,Rome,1998,Joseph Evans,17
Italy,FC Orenburg,Hoffenheim,2010,Matthew Nelson,2
England,AC Milan,St. Petersburg,2020,David James,15
France,Olympique Marseille,Brest,2011,William Moore,76
England,FC Ural,Cologne,1997,George Wilson,88
France,Manchester United,Moscow,2010,Adam Williams,29
Germany,FC Schalke 04,Brest,1992,Christopher Taylor,41
England,FC Orenburg,Lorient,1991,Adam Williams,14
England,Stade Brestois,San Sebastian,1998,Kevin Campbell,64
France,FC Moscow,Leverkusen,2021,Brian Miller,5
France,Arsenal FC,Orenburg,2010,Richard Walker,6
England,FC Metz,Monaco,2008,Matthew Nelson,10
Spain,AC Milan,Birmingham,2020,Thomas Edwards,19
France,FC Orenburg,Vigo,2000,Christopher Taylor,89
Spain,Valencia CF,Yekaterinburg,2005,Christopher Taylor,13
France,FC Rostov,Munich,1997,Richard Walker,4
France,TSG 1899 Hoffenheim,Krasnodar,1990,Joshua Miller,56
France,Tottenham Hotspur,Bilbao,2013,David James,41
England,Juventus FC,Benevento,2014,Matthew Nelson,15
Italy,VfL Wolfsburg,Munich,2016,Mark Anderson,75
Spain,FC Augsburg,Marseille,2022,Brian Miller,5
Italy,West Ham United,Milan,2010,David James,73
Germany,Manchester United,Augsburg,1990,Matthew Nelson,24
Italy,FC St. Petersburg,Cologne,2016,Albert Gonzalez,39
Russia,FC Tambov,Lyon,2002,David King,72
Italy,FC Rostov,Sochi,2020,James Johnson,37
Russia,SC Freiburg,Krasnodar,2016,Matthew Baker,62
Russia,Barcelona FC,Cagliari,2011,William Robinson,14
Italy,Barcelona FC,Leicester,2000,Kevin Campbell,39
Italy,Tottenham Hotspur,Valencia,1991,Michael Thompson,23
England,Arsenal FC,Rome,2000,Andrew Clark,21
France,FC Bayern Munich,Metz,2014,Thomas Edwards,69
Germany,Barcelona FC,Valencia,2021,Paul Davis,13
Germany,Bayer 04 Leverkusen,Ufa,2005,Brian Walker,34
Russia,SPAL 2013,London,1992,Ronald Wilson,54
Italy,Olympique Lyon,Gelsenkirchen,2009,Norman White,78
Germany,Athletic Bilbao,San Sebastian,2004,Carl Taylor,38
England,VfL Wolfsburg,Rome,2021,John Lewis,83
England,1. FC Köln,Madrid,2009,David James,81
England,Cagliari Calcio,Milan,1992,Jeffrey Adams,46
Russia,Manchester United,Metz,2008,John Lewis,61
Italy,TSG 1899 Hoffenheim,Dortmund,2022,Brian Walker,3
Germany,FC St. Petersburg,Rome,2013,Matthew Baker,85
Italy,Getafe CF,Seville,1998,Joseph Evans,24
Spain,FC Ufa,Manchester,2007,Richard White,21
England,Benevento Calcio,Sassuolo,2008,Thomas Brown,93
France,US Sassuolo,Madrid,2015,Steven Taylor,83
Germany,FC St. Petersburg,Wolfsburg,1992,Mark Anderson,25
Russia,Stade Brestois,Ferrara,2021,William Robinson,4
Italy,VfL Wolfsburg,Monaco,2008,William Robinson,21
England,Cagliari Calcio,Rostov,2021,Matthew Nelson,8
England,FC Rostov,Marseille,2017,Paul Davis,96
France,Real Sociedad,Palma de Mallorca,2011,Joseph Evans,98
Germany,Juventus FC,Marseille,2020,William Robinson,50
England,FC Ural,Ferrara,2021,Joshua Miller,43
France,AS Roma,Milan,1999,Norman White,65
Germany,FC Krasnodar,Brest,2022,William Moore,54
England,FC St. Petersburg,Dortmund,2013,Ronald Wilson,15
England,Stade de Reims,Valencia,2019,James Johnson,42
England,Valencia CF,Rome,2008,George Wilson,43
Spain,US Sassuolo,Reims,2005,Christopher Taylor,26
Spain,FC Sochi,Marseille,2014,Michael Thompson,60
England,TSG 1899 Hoffenheim,Lyon,2006,Thomas Edwards,88
Italy,RC Celta de Vigo,Munich,2009,Kenneth Hall,82
Italy,Barcelona FC,Wolfsburg,2005,Jeffrey Adams,22
Russia,Juventus FC,Hoffenheim,2012,Matthew Nelson,53
Italy,Manchester City,Ferrara,2022,Thomas Edwards,33
France,Sevilla FC,Manchester,2006,Ronald Wilson,88
England,Aston Villa,Milan,1997,Carl Taylor,94
Spain,FC Tambov,Monaco,2022,John Smith,69
Italy,TSG 1899 Hoffenheim,Ferrara,1995,Mark Anderson,68
Germany,Manchester United,Reims,2016,Jeffrey Adams,56
Italy,West Ham United,Palma de Mallorca,2016,Brian Walker,43
Russia,FC Ufa,Valencia,2022,Richard White,16
France,FC Lorient,San Sebastian,2018,Joshua Miller,61
Italy,SC Freiburg,London,2016,Albert Gonzalez,99
Russia,Arsenal FC,St. Petersburg,2003,Timothy Harris,22
Russia,Tottenham Hotspur,Metz,2021,Michael Thompson,25
Italy,Stade Rennais,Krasnodar,2014,Joseph Evans,63
France,Olympique Lyon,Augsburg,2006,Norman White,84
Russia,Real Madrid CF,London,2006,Jeffrey Adams,85
France,FC Tambov,Monaco,2017,Carl Taylor,73
England,SPAL 2013,Augsburg,1994,Norman White,8
Germany,FC Rostov,Moscow,2004,Mark Anderson,83
Russia,Aston Villa,Tambov,2006,Christopher Taylor,58
France,US Sassuolo,Turin,1996,Matthew Baker,86
Germany,FC Augsburg,Turin,1995,Jeffrey Adams,9
Germany,Barcelona FC,Bilbao,2003,Norman White,5
Russia,SS Lazio,Lyon,2006,Thomas Edwards,7
Spain,Getafe CF,Ferrara,2007,Christopher Taylor,74
France,Real Madrid CF,Krasnodar,2011,Christopher Taylor,66
Germany,AS Roma,Monaco,2013,Michael Thompson,20
France,RCD Mallorca,Marseille,2001,Ronald Wilson,8
Spain,Atletico Madrid,St. Petersburg,2000,Matthew Baker,48
Russia,FC Krasnodar,Marseille,1996,David King,54
Italy,Manchester United,Bilbao,1998,Thomas Edwards,19
Russia,Stade Brestois,Cagliari,2008,Matthew Nelson,92
Italy,Stade Rennais,Marseille,2009,James Johnson,61
France,FC Orenburg,Reims,1992,John Smith,73
Germany,1. FC Köln,Orenburg,2005,John Lewis,62
